,Unnamed: 0,ms_subclass,lot_frontage,lot_area,lot_shape,utilities,land_slope,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_area,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,fence,misc_val,mo_sold,yr_sold,saleprice,ms_zoning_FV,ms_zoning_I (all),ms_zoning_RH,ms_zoning_RL,ms_zoning_RM,street_Pave,alley_Noalley,alley_Pave,land_contour_HLS,land_contour_Low,land_contour_Lvl,lot_config_CulDSac,lot_config_FR2,lot_config_FR3,lot_config_Inside,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_IDOTRR,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,condition_1_Feedr,condition_1_Norm,condition_1_PosA,condition_1_PosN,condition_1_RRAe,condition_1_RRAn,condition_1_RRNe,condition_1_RRNn,condition_2_Norm,condition_2_PosA,condition_2_PosN,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,house_style_1.5Unf,house_style_1Story,house_style_2.5Fin,house_style_2.5Unf,house_style_2Story,house_style_SFoyer,house_style_SLvl,roof_style_Gable,roof_style_Gambrel,roof_style_Hip,roof_style_Mansard,roof_style_Shed,roof_matl_Tar&Grv,roof_matl_WdShake,roof_matl_WdShngl,exterior_1st_AsphShn,exterior_1st_BrkComm,exterior_1st_BrkFace,exterior_1st_CemntBd,exterior_1st_HdBoard,exterior_1st_MetalSd,exterior_1st_Plywood,exterior_1st_Stucco,exterior_1st_VinylSd,exterior_1st_Wd Sdng,exterior_1st_WdShing,exterior_2nd_AsphShn,exterior_2nd_Brk Cmn,exterior_2nd_BrkFace,exterior_2nd_CBlock,exterior_2nd_CmentBd,exterior_2nd_HdBoard,exterior_2nd_ImStucc,exterior_2nd_MetalSd,exterior_2nd_Plywood,exterior_2nd_Stucco,exterior_2nd_VinylSd,exterior_2nd_Wd Sdng,exterior_2nd_Wd Shng,mas_vnr_type_BrkFace,mas_vnr_type_None,mas_vnr_type_Stone,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood,heating_GasW,heating_Grav,central_air_Y,garage_type_Attchd,garage_type_Basment,garage_type_BuiltIn,garage_type_CarPort,garage_type_Detchd,sale_type_CWD,sale_type_Con,sale_type_ConLD,sale_type_ConLI,sale_type_ConLw,sale_type_New,sale_type_Oth,sale_type_WD 
0,0,60,68.0,13517,2.0,3.0,2.0,6,8,1976,2005,289.0,3.0,2.0,2.0,2.0,0.0,5.0,533.0,0.0,0.0,192.0,725.0,4.0,4.0,725,754,0,1479,0.0,0.0,2,1,3,1,3.0,6,7.0,0,0.0,1976.0,1.0,2.0,475.0,2.0,2.0,2.0,0,44,0,0,0,0,0.0,0,3,2010,130500,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,60,43.0,11492,2.0,3.0,2.0,7,5,1996,1997,132.0,3.0,2.0,3.0,2.0,0.0,5.0,637.0,0.0,0.0,276.0,913.0,4.0,4.0,913,1209,0,2122,1.0,0.0,2,1,4,1,3.0,8,7.0,1,3.0,1997.0,1.0,2.0,559.0,2.0,2.0,2.0,0,74,0,0,0,0,0.0,0,4,2009,220000,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,2,20,68.0,7922,3.0,3.0,2.0,5,7,1953,2007,0.0,2.0,3.0,2.0,2.0,0.0,5.0,731.0,0.0,0.0,326.0,1057.0,2.0,4.0,1057,0,0,1057,1.0,0.0,1,0,3,1,3.0,5,7.0,0,0.0,1953.0,0.0,1.0,246.0,2.0,2.0,2.0,0,52,0,0,0,0,0.0,0,1,2010,109000,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3,3,60,73.0,9802,3.0,3.0,2.0,5,5,2006,2007,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,384.0,384.0,3.0,4.0,744,700,0,1444,0.0,0.0,2,1,3,1,2.0,7,7.0,0,0.0,2007.0,2.0,2.0,400.0,2.0,2.0,2.0,100,0,0,0,0,0,0.0,0,4,2010,174000,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4,4,50,82.0,14235,2.0,3.0,2.0,6,8,1900,1993,0.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,676.0,676.0,2.0,4.0,831,614,0,1445,0.0,0.0,2,0,3,1,2.0,6,7.0,0,0.0,1957.0,0.0,2.0,484.0,2.0,2.0,0.0,0,59,0,0,0,0,0.0,0,3,2010,138500,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
5,5,20,137.0,16492,2.0,3.0,2.0,6,6,1966,2002,0.0,3.0,2.0,2.0,2.0,0.0,4.0,247.0,2.0,713.0,557.0,1517.0,4.0,4.0,1888,0,0,1888,0.0,0.0,2,1,2,1,3.0,6,4.0,1,4.0,1966.0,2.0,2.0,578.0,2.0,2.0,2.0,0,0,0,0,0,0,0.0,0,6,2010,190000,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
6,6,180,35.0,3675,3.0,3.0,2.0,6,5,2005,2006,82.0,2.0,2.0,3.0,2.0,3.0,5.0,547.0,0.0,0.0,0.0,547.0,3.0,4.0,1072,0,0,1072,1.0,0.0,2,0,2,1,2.0,5,7.0,0,0.0,2005.0,2.0,2.0,525.0,2.0,2.0,2.0,0,44,0,0,0,0,0.0,0,6,2006,140000,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
7,7,20,68.0,12160,2.0,3.0,2.0,5,5,1959,1959,180.0,2.0,2.0,2.0,2.0,0.0,2.0,1000.0,0.0,0.0,188.0,1188.0,1.0,4.0,1188,0,0,1188,1.0,0.0,1,0,3,1,2.0,6,7.0,0,0.0,1959.0,1.0,2.0,531.0,2.0,2.0,2.0,0,0,0,0,0,0,3.0,0,5,2010,142000,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,8,20,68.0,15783,3.0,3.0,2.0,5,5,1952,1952,0.0,2.0,2.0,2.0,2.0,0.0,2.0,292.0,0.0,0.0,632.0,924.0,2.0,4.0,924,0,0,924,0.0,0.0,1,0,2,1,2.0,6,7.0,0,0.0,1952.0,0.0,1.0,420.0,2.0,2.0,2.0,0,324,0,0,0,0,3.0,400,6,2007,112500,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
9,9,60,70.0,11606,2.0,3.0,0.0,5,5,1969,1969,192.0,2.0,2.0,3.0,2.0,2.0,2.0,650.0,0.0,0.0,390.0,1040.0,2.0,4.0,1040,1040,0,2080,0.0,1.0,1,2,5,1,1.0,9,7.0,2,3.0,1969.0,0.0,2.0,504.0,2.0,2.0,2.0,335,0,0,0,0,0,0.0,0,9,2007,135000,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
